ensembl_gene_id	BE1	KAN	NBLW	CHLA122	CHLA15	BE2	KANR	NBLWR	CHLA136	CHLA20
ENSG00000088280	47	149	196	414	556	383	190	216	329	365
ENSG00000007968	563	633	894	646	1075	1389	659	555	605	608
ENSG00000235052	1	1	0	0	1	1	4	4	0	3
ENSG00000117318	104	308	1077	88	935	446	309	294	442	1802
ENSG00000142676	4690	5114	9607	4813	11180	15363	3805	3822	5522	7555
ENSG00000011007	515	611	1203	432	1503	1080	605	517	534	969
ENSG00000236810	27	30	52	31	48	51	44	32	44	38
ENSG00000057757	209	273	562	201	618	392	330	276	253	450
ENSG00000011009	158	220	467	173	550	419	128	195	326	277
ENSG00000117308	86	119	195	95	212	155	62	129	136	176
ENSG00000117305	47	54	55	54	102	176	84	48	98	105
ENSG00000179163	18	41	25	13	42	12	29	41	39	35
ENSG00000189266	230	311	360	183	518	665	419	168	359	424
ENSG00000188529	1548	2034	2572	1402	3378	2728	2925	1675	1574	2972
ENSG00000185436	1	39	0	4	6	0	7	0	1	17
ENSG00000001460	29	43	96	0	62	55	7	52	4	103
ENSG00000001461	127	190	132	65	307	208	97	242	43	220
ENSG00000117602	1	59	0	128	5	0	0	21	2	4
ENSG00000133226	1029	1528	2330	1093	2747	2435	1430	1271	1344	2044
ENSG00000169504	675	1491	1293	1324	2402	2831	1629	553	1228	1873
ENSG00000020633	0	1	0	3	2	2	0	0	11	2
ENSG00000117614	271	329	374	207	536	613	353	230	223	399
ENSG00000117616	214	397	316	139	519	608	239	200	298	230
ENSG00000261349	0	5	0	0	4	0	13	0	0	1
ENSG00000183726	208	320	454	311	581	540	249	243	297	404
ENSG00000188672	1	3	5	8	13	15	3	9	13	2
ENSG00000204178	579	678	776	527	943	976	858	750	547	709
ENSG00000157978	1	0	2	1	8	5	1	0	5	11
ENSG00000117643	17	7	40	39	74	26	33	51	92	4
ENSG00000162430	404	613	531	685	1318	612	439	692	730	573
ENSG00000228172	2	5	4	2	5	6	11	9	5	0
ENSG00000117640	307	352	611	247	642	599	283	493	406	385
ENSG00000127423	49	62	162	61	202	126	81	66	56	164
ENSG00000182749	164	104	58	160	243	377	174	192	200	211
ENSG00000117632	6065	7244	11707	10623	10743	10620	6106	6461	9021	8913
ENSG00000158006	43	52	50	28	93	141	48	29	64	104
ENSG00000158008	4	3	3	7	17	20	7	10	12	10
ENSG00000175087	141	168	295	108	323	327	277	158	147	242
ENSG00000197245	0	1	1	5	21	3	5	2	6	12
ENSG00000142684	51	71	194	70	210	165	50	79	84	126
ENSG00000142675	8	16	28	109	79	27	39	53	76	49
ENSG00000130695	410	587	939	474	959	1122	400	379	564	764
ENSG00000142669	58	117	283	115	481	180	90	172	196	243
ENSG00000158062	104	84	183	149	230	159	85	77	121	163
ENSG00000176092	0	4	0	2	22	2	2	1	3	3
